age	exposure	exposure level	outcome	int_type	int_level	HR	lci	uci	pval
0	kids_cat4	1	covidadmission	ethnicity	1	1.09	0.96	1.23	
0	kids_cat4	1	covidadmission	ethnicity	2	0.54	0.26	1.15	
0	kids_cat4	1	covidadmission	ethnicity	3	1.18	0.99	1.40	
0	kids_cat4	1	covidadmission	ethnicity	4	1.13	0.76	1.69	
0	kids_cat4	1	covidadmission	ethnicity	5	1.98	1.30	3.03	
0	kids_cat4	2	covidadmission	ethnicity	1	1.15	1.01	1.31	
0	kids_cat4	2	covidadmission	ethnicity	2	1.23	0.64	2.35	
0	kids_cat4	2	covidadmission	ethnicity	3	1.41	1.17	1.70	
0	kids_cat4	2	covidadmission	ethnicity	4	1.35	0.88	2.07	
0	kids_cat4	2	covidadmission	ethnicity	5	1.84	1.08	3.14	
0	kids_cat4	3	covidadmission	ethnicity	1	1.34	1.15	1.58	
0	kids_cat4	3	covidadmission	ethnicity	2	1.46	0.78	2.73	
0	kids_cat4	3	covidadmission	ethnicity	3	1.36	1.12	1.65	
0	kids_cat4	3	covidadmission	ethnicity	4	1.78	1.21	2.62	
0	kids_cat4	3	covidadmission	ethnicity	5	2.06	1.23	3.47	
1	kids_cat4	1	covidadmission	ethnicity	1	0.86	0.62	1.18	
1	kids_cat4	1	covidadmission	ethnicity	2	3.88	1.11	13.59	
1	kids_cat4	1	covidadmission	ethnicity	3	1.08	0.84	1.39	
1	kids_cat4	1	covidadmission	ethnicity	4	0.57	0.14	2.32	
1	kids_cat4	1	covidadmission	ethnicity	5	0.28	0.04	2.03	
1	kids_cat4	2	covidadmission	ethnicity	1	0.96	0.70	1.33	
1	kids_cat4	2	covidadmission	ethnicity	2	0.00	0.00	0.00	
1	kids_cat4	2	covidadmission	ethnicity	3	1.11	0.80	1.55	
1	kids_cat4	2	covidadmission	ethnicity	4	1.17	0.37	3.72	
1	kids_cat4	2	covidadmission	ethnicity	5	0.00	0.00	0.00	
1	kids_cat4	3	covidadmission	ethnicity	1	0.83	0.47	1.47	
1	kids_cat4	3	covidadmission	ethnicity	2	3.09	0.41	23.52	
1	kids_cat4	3	covidadmission	ethnicity	3	1.61	1.21	2.14	
1	kids_cat4	3	covidadmission	ethnicity	4	0.00	0.00	0.00	
1	kids_cat4	3	covidadmission	ethnicity	5	0.00	0.00	0.00	

